countryName,year,sector,CO2EmsnKiloTons 
Africa,1971,AgricultureTonnes,293824.0027
Africa,1972,AgricultureTonnes,295462.9447
Africa,1973,AgricultureTonnes,295652.0404
Africa,1974,AgricultureTonnes,298006.7112
Africa,1975,AgricultureTonnes,305444.1482
Africa,1976,AgricultureTonnes,309786.1271
Africa,1977,AgricultureTonnes,317357.0238
Africa,1978,AgricultureTonnes,327186.1648
Africa,1979,AgricultureTonnes,335482.3491
Africa,1980,AgricultureTonnes,341249.8156
Africa,1981,AgricultureTonnes,346602.8227
Africa,1982,AgricultureTonnes,353348.4401
Africa,1983,AgricultureTonnes,355157.9159
Africa,1984,AgricultureTonnes,348713.0111
Africa,1985,AgricultureTonnes,355012.5699
Africa,1986,AgricultureTonnes,362425.2439
Africa,1987,AgricultureTonnes,363151.1708
Africa,1988,AgricultureTonnes,372632.1967
Africa,1989,AgricultureTonnes,384838.3801
Africa,1990,AgricultureTonnes,569252.9048
Africa,1991,AgricultureTonnes,571132.4325
Africa,1992,AgricultureTonnes,578389.2402
Africa,1993,AgricultureTonnes,578990.5336
Africa,1994,AgricultureTonnes,586133.4285
Africa,1995,AgricultureTonnes,595586.8687
Africa,1996,AgricultureTonnes,602720.8746
Africa,1997,AgricultureTonnes,610309.355
Africa,1998,AgricultureTonnes,644803.2528
Africa,1999,AgricultureTonnes,645219.4355
Africa,2000,AgricultureTonnes,652455.64
Africa,2001,AgricultureTonnes,661208.4599
Africa,2002,AgricultureTonnes,671267.9606
Africa,2003,AgricultureTonnes,699198.9774
Africa,2004,AgricultureTonnes,701492.1151
Africa,2005,AgricultureTonnes,737645.7265
Africa,2006,AgricultureTonnes,719287.3952
Africa,2007,AgricultureTonnes,753236.2224
Africa,2008,AgricultureTonnes,778966.9768
Africa,2009,AgricultureTonnes,766731.0874
Africa,2010,AgricultureTonnes,794508.7356
Africa,2011,AgricultureTonnes,808738.2634
Africa,2012,AgricultureTonnes,812812.6775
Africa,2013,AgricultureTonnes,828603.5501
Africa,2014,AgricultureTonnes,833552.9998
Africa,2030,AgricultureTonnes,886944.7006
Africa,2050,AgricultureTonnes,1044087.626
Asia,1961,AgricultureTonnes,998285.1352
Asia,1962,AgricultureTonnes,1010307.419
Asia,1963,AgricultureTonnes,1021642.481
Asia,1964,AgricultureTonnes,1058054.153
Asia,1965,AgricultureTonnes,1073924.566
Asia,1966,AgricultureTonnes,1108086.65
Asia,1967,AgricultureTonnes,1121840.544
Asia,1968,AgricultureTonnes,1146338.443
Asia,1969,AgricultureTonnes,1159322.826
Asia,1970,AgricultureTonnes,1173407.95
Asia,1971,AgricultureTonnes,1195672.17
Asia,1972,AgricultureTonnes,1204207.685
Asia,1973,AgricultureTonnes,1227855.153
Asia,1974,AgricultureTonnes,1232236.424
Asia,1975,AgricultureTonnes,1264646.611
Asia,1976,AgricultureTonnes,1270805.801
Asia,1977,AgricultureTonnes,1301459.165
Asia,1978,AgricultureTonnes,1337271.117
Asia,1979,AgricultureTonnes,1355580.282
Asia,1980,AgricultureTonnes,1380865.844
Asia,1981,AgricultureTonnes,1396869.975
Asia,1982,AgricultureTonnes,1409912.369
Asia,1983,AgricultureTonnes,1458406.764
Asia,1984,AgricultureTonnes,1486842.542
Asia,1985,AgricultureTonnes,1493041.035
Asia,1986,AgricultureTonnes,1527628.588
Asia,1987,AgricultureTonnes,1551463.626
Asia,1988,AgricultureTonnes,1601772.993
Asia,1989,AgricultureTonnes,1637710.944
Asia,1990,AgricultureTonnes,1715570.633
Asia,1991,AgricultureTonnes,1726848.418
Asia,1992,AgricultureTonnes,1822662.544
Asia,1993,AgricultureTonnes,1817597.57
Asia,1994,AgricultureTonnes,1847366.81
Asia,1995,AgricultureTonnes,1904954.836
Asia,1996,AgricultureTonnes,1941463.312
Asia,1997,AgricultureTonnes,1934868.226
Asia,1998,AgricultureTonnes,1939285.68
Asia,1999,AgricultureTonnes,1973838.816
Asia,2000,AgricultureTonnes,1955136.256
Asia,2001,AgricultureTonnes,1962342.023
Asia,2002,AgricultureTonnes,1952573.134
Asia,2003,AgricultureTonnes,1975592.502
Asia,2004,AgricultureTonnes,2033531.177
Asia,2005,AgricultureTonnes,2081155.37
Asia,2006,AgricultureTonnes,2135713.276
Asia,2007,AgricultureTonnes,2174277.596
Asia,2008,AgricultureTonnes,2203385.468
Asia,2009,AgricultureTonnes,2235290.577
Asia,2010,AgricultureTonnes,2258576.814
Asia,2011,AgricultureTonnes,2262429.588
Asia,2012,AgricultureTonnes,2281390.608
Asia,2013,AgricultureTonnes,2291784.438
Asia,2014,AgricultureTonnes,2313434.776
Asia,2030,AgricultureTonnes,2600321.379
Asia,2050,AgricultureTonnes,2910465.264
Australia & New Zealand,1961,AgricultureTonnes,120297.4129
Australia & New Zealand,1962,AgricultureTonnes,124127.5279
Australia & New Zealand,1963,AgricultureTonnes,126276.2981
Australia & New Zealand,1964,AgricultureTonnes,129544.767
Australia & New Zealand,1965,AgricultureTonnes,131614.0771
Australia & New Zealand,1966,AgricultureTonnes,128294.6416
Australia & New Zealand,1967,AgricultureTonnes,132847.3136
Australia & New Zealand,1968,AgricultureTonnes,137685.0236
Australia & New Zealand,1969,AgricultureTonnes,143054.8442
Australia & New Zealand,1970,AgricultureTonnes,148202.6408
Australia & New Zealand,1971,AgricultureTonnes,150219.3479
Australia & New Zealand,1972,AgricultureTonnes,153693.3398
Australia & New Zealand,1973,AgricultureTonnes,149819.9559
Australia & New Zealand,1974,AgricultureTonnes,154901.1988
Australia & New Zealand,1975,AgricultureTonnes,160574.7885
Australia & New Zealand,1976,AgricultureTonnes,161015.42
Australia & New Zealand,1977,AgricultureTonnes,153138.8986
Australia & New Zealand,1978,AgricultureTonnes,148312.9451
Australia & New Zealand,1979,AgricultureTonnes,144367.9797
Australia & New Zealand,1980,AgricultureTonnes,144867.675
Australia & New Zealand,1981,AgricultureTonnes,142828.9274
Australia & New Zealand,1982,AgricultureTonnes,142175.3877
Australia & New Zealand,1983,AgricultureTonnes,137335.0478
Australia & New Zealand,1984,AgricultureTonnes,139159.313
Australia & New Zealand,1985,AgricultureTonnes,143132.3512
Australia & New Zealand,1986,AgricultureTonnes,144196.4251
Australia & New Zealand,1987,AgricultureTonnes,140026.5484
Australia & New Zealand,1988,AgricultureTonnes,141616.4682
Australia & New Zealand,1989,AgricultureTonnes,144192.1276
Australia & New Zealand,1990,AgricultureTonnes,200136.2637
Australia & New Zealand,1991,AgricultureTonnes,197793.1081
Australia & New Zealand,1992,AgricultureTonnes,194142.7147
Australia & New Zealand,1993,AgricultureTonnes,191711.2242
Australia & New Zealand,1994,AgricultureTonnes,194165.0301
Australia & New Zealand,1995,AgricultureTonnes,192741.5014
Australia & New Zealand,1996,AgricultureTonnes,183203.8978
Australia & New Zealand,1997,AgricultureTonnes,181756.0152
Australia & New Zealand,1998,AgricultureTonnes,187580.295
Australia & New Zealand,1999,AgricultureTonnes,217738.876
Australia & New Zealand,2000,AgricultureTonnes,233300.6059
Australia & New Zealand,2001,AgricultureTonnes,233501.1134
Australia & New Zealand,2002,AgricultureTonnes,225109.5776
Australia & New Zealand,2003,AgricultureTonnes,164150.3031
Australia & New Zealand,2004,AgricultureTonnes,196163.0367
Australia & New Zealand,2005,AgricultureTonnes,164798.1617
Australia & New Zealand,2006,AgricultureTonnes,192337.1625
Australia & New Zealand,2007,AgricultureTonnes,180297.7859
Australia & New Zealand,2008,AgricultureTonnes,155438.7691
Australia & New Zealand,2009,AgricultureTonnes,162420.7221
Australia & New Zealand,2010,AgricultureTonnes,141572.8198
Australia & New Zealand,2011,AgricultureTonnes,227485.9219
Australia & New Zealand,2012,AgricultureTonnes,228700.1649
Australia & New Zealand,2013,AgricultureTonnes,162878.8419
Australia & New Zealand,2014,AgricultureTonnes,180501.1178
Australia & New Zealand,2030,AgricultureTonnes,205708.714
Australia & New Zealand,2050,AgricultureTonnes,209402.6754
Europe,1961,AgricultureTonnes,698508.0818
Europe,1962,AgricultureTonnes,721954.0843
Europe,1963,AgricultureTonnes,728601.4544
Europe,1964,AgricultureTonnes,722981.5167
Europe,1965,AgricultureTonnes,737102.4198
Europe,1966,AgricultureTonnes,767292.8868
Europe,1967,AgricultureTonnes,790651.3429
Europe,1968,AgricultureTonnes,802397.0779
Europe,1969,AgricultureTonnes,802598.4906
Europe,1970,AgricultureTonnes,807185.2594
Europe,1971,AgricultureTonnes,829810.9996
Europe,1972,AgricultureTonnes,845645.814
Europe,1973,AgricultureTonnes,872430.1429
Europe,1974,AgricultureTonnes,892325.8224
Europe,1975,AgricultureTonnes,905801.9109
Europe,1976,AgricultureTonnes,907689.4846
Europe,1977,AgricultureTonnes,911154.0863
Europe,1978,AgricultureTonnes,932688.8525
Europe,1979,AgricultureTonnes,937726.0189
Europe,1980,AgricultureTonnes,946757.3753
Europe,1981,AgricultureTonnes,942092.7388
Europe,1982,AgricultureTonnes,957869.5422
Europe,1983,AgricultureTonnes,966777.0161
Europe,1984,AgricultureTonnes,982029.7502
Europe,1985,AgricultureTonnes,986028.1427
Europe,1986,AgricultureTonnes,988813.6471
Europe,1987,AgricultureTonnes,982890.2744
Europe,1988,AgricultureTonnes,972016.3046
Europe,1989,AgricultureTonnes,961060.2804
Europe,1990,AgricultureTonnes,988718.1456
Europe,1991,AgricultureTonnes,949804.6397
Europe,1992,AgricultureTonnes,810158.3899
Europe,1993,AgricultureTonnes,776845.8987
Europe,1994,AgricultureTonnes,750489.2509
Europe,1995,AgricultureTonnes,721896.2511
Europe,1996,AgricultureTonnes,708567.7309
Europe,1997,AgricultureTonnes,687522.3168
Europe,1998,AgricultureTonnes,664884.7923
Europe,1999,AgricultureTonnes,648342.9091
Europe,2000,AgricultureTonnes,633458.1039
Europe,2001,AgricultureTonnes,623377.9279
Europe,2002,AgricultureTonnes,615579.9662
Europe,2003,AgricultureTonnes,614650.825
Europe,2004,AgricultureTonnes,602214.7818
Europe,2005,AgricultureTonnes,587910.1169
Europe,2006,AgricultureTonnes,580834.1267
Europe,2007,AgricultureTonnes,585090.2062
Europe,2008,AgricultureTonnes,586694.8671
Europe,2009,AgricultureTonnes,574807.0174
Europe,2010,AgricultureTonnes,572990.2642
Europe,2011,AgricultureTonnes,568549.0954
Europe,2012,AgricultureTonnes,569377.6909
Europe,2013,AgricultureTonnes,575286.922
Europe,2014,AgricultureTonnes,588317.3782
Europe,2030,AgricultureTonnes,596368.9407
Europe,2050,AgricultureTonnes,582254.2468
Northern America,1961,AgricultureTonnes,315621.1149
Northern America,1962,AgricultureTonnes,324980.6308
Northern America,1963,AgricultureTonnes,334149.0559
Northern America,1964,AgricultureTonnes,339363.8143
Northern America,1965,AgricultureTonnes,344665.487
Northern America,1966,AgricultureTonnes,345209.6731
Northern America,1967,AgricultureTonnes,351426.7111
Northern America,1968,AgricultureTonnes,352337.6594
Northern America,1969,AgricultureTonnes,354291.4619
Northern America,1970,AgricultureTonnes,358436.6979
Northern America,1971,AgricultureTonnes,368755.8759
Northern America,1972,AgricultureTonnes,373698.4891
Northern America,1973,AgricultureTonnes,386843.8372
Northern America,1974,AgricultureTonnes,393817.5354
Northern America,1975,AgricultureTonnes,414156.8214
Northern America,1976,AgricultureTonnes,406275.3881
Northern America,1977,AgricultureTonnes,395160.6681
Northern America,1978,AgricultureTonnes,390796.5961
Northern America,1979,AgricultureTonnes,388034.836
Northern America,1980,AgricultureTonnes,395590.261
Northern America,1981,AgricultureTonnes,401031.7238
Northern America,1982,AgricultureTonnes,389955.3548
Northern America,1983,AgricultureTonnes,388121.143
Northern America,1984,AgricultureTonnes,395812.7861
Northern America,1985,AgricultureTonnes,382905.3215
Northern America,1986,AgricultureTonnes,370160.9526
Northern America,1987,AgricultureTonnes,362529.6759
Northern America,1988,AgricultureTonnes,356353.359
Northern America,1989,AgricultureTonnes,360287.5676
Northern America,1990,AgricultureTonnes,383685.0741
Northern America,1991,AgricultureTonnes,383864.9525
Northern America,1992,AgricultureTonnes,392451.3502
Northern America,1993,AgricultureTonnes,397042.1035
Northern America,1994,AgricultureTonnes,401766.0478
Northern America,1995,AgricultureTonnes,406260.0236
Northern America,1996,AgricultureTonnes,412662.6931
Northern America,1997,AgricultureTonnes,408209.1543
Northern America,1998,AgricultureTonnes,410091.4147
Northern America,1999,AgricultureTonnes,407160.2903
Northern America,2000,AgricultureTonnes,398376.8305
Northern America,2001,AgricultureTonnes,398550.1709
Northern America,2002,AgricultureTonnes,399837.177
Northern America,2003,AgricultureTonnes,404099.2301
Northern America,2004,AgricultureTonnes,407309.2788
Northern America,2005,AgricultureTonnes,408013.9623
Northern America,2006,AgricultureTonnes,407605.9332
Northern America,2007,AgricultureTonnes,414095.1442
Northern America,2008,AgricultureTonnes,411006.7098
Northern America,2009,AgricultureTonnes,403687.274
Northern America,2010,AgricultureTonnes,406237.3258
Northern America,2011,AgricultureTonnes,410380.4998
Northern America,2012,AgricultureTonnes,412669.3383
Northern America,2013,AgricultureTonnes,414905.0261
Northern America,2014,AgricultureTonnes,413267.0218
Northern America,2030,AgricultureTonnes,427901.6566
Northern America,2050,AgricultureTonnes,435091.2415
South America,1961,AgricultureTonnes,312407.4334
South America,1962,AgricultureTonnes,317642.5329
South America,1963,AgricultureTonnes,317991.5255
South America,1964,AgricultureTonnes,328922.7619
South America,1965,AgricultureTonnes,342465.9759
South America,1966,AgricultureTonnes,351584.8523
South America,1967,AgricultureTonnes,362975.9169
South America,1968,AgricultureTonnes,369459.8698
South America,1969,AgricultureTonnes,371928.0213
South America,1970,AgricultureTonnes,380046.8047
