countryName,year,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,Population,GdpPercap_100USD
Kenya,2002,0.235430686,2296,32927864,22.96
Kuwait,2002,27.04494728,72755,2069816,727.55
Latvia,2002,3.23385215,12152,2350340,121.52
Lebanon,2002,4.611165666,11140,3868504,111.4
Libya,2002,8.588344571,21133,5434293,211.33
Lithuania,2002,3.658424317,12480,3462402,124.8
Luxembourg,2002,22.40627766,49936,442882,499.36
Malaysia,2002,5.463758232,14745,24515323,147.45
Malta,2002,6.089958784,20949,402244,209.49
Mauritius,2002,2.399350314,12106,1220935,121.06
Mexico,2002,3.966941343,13628,102634153,136.28
Moldova,2002,0.970100124,2869,3968812,28.69
Mongolia,2002,3.381208262,5223,2458853,52.23
Morocco,2002,1.290101717,5198,29453931,51.98
Mozambique,2002,0.080388602,590,19200021,5.9
Myanmar,2002,0.194182352,1911,45609292,19.11
Namibia,2002,0.896324282,6149,1973408,61.49
Nepal,2002,0.105635788,1687,25562573,16.87
Netherlands,2002,10.94792129,40715,16045935,407.15
New Zealand,2002,8.77287682,28460,3961978,284.6
Nicaragua,2002,0.771661717,3483,5219724,34.83
Niger,2002,0.056924401,725,11706182,7.25
Nigeria,2002,0.725875934,3221,129832447,32.21
Norway,2002,9.385584979,77302,4535599,773.02
Oman,2002,10.81033155,46413,2302874,464.13
Pakistan,2002,0.780507511,3566,150407242,35.66
Panama,2002,1.844006328,10128,3069123,101.28
Paraguay,2002,0.702247977,5735,5564709,57.35
Peru,2002,1.012371664,6426,26579252,64.26
Philippines,2002,0.862364664,4481,80630416,44.81
Poland,2002,7.944257192,14611,38230497,146.11
Portugal,2002,6.660181888,24753,10423256,247.53
Qatar,2002,63.03936872,133818,624173,1338.18
Romania,2002,4.536872485,11539,22010781,115.39
Saudi Arabia,2002,14.86700437,38572,21463072,385.72
Senegal,2002,0.417996955,1861,10023194,18.61
Serbia,2002,4.829941368,8712,10013058,87.12
Singapore,2002,11.41862153,41779,4032217,417.79
Slovenia,2002,8.302822965,21868,1991319,218.68
South Africa,2002,7.558643099,9690,46015405,96.9
