CountryName,Year,perCapitaEnergyConsumption,PctPopulationInExtremePoverty,Population,CO2EmsnPerCapita,GDPPerCapita_2011USDValue
Dominican Republic,1999,9269.35523,0,8458164,2.181003971,7965
Dominican Republic,2000,9805.982901,5.5,8591967,2.288279688,8272
Dominican Republic,2001,9363.093505,4,8726256,2.252903862,8279
Dominican Republic,2002,9783.986689,6,8860760,2.386047906,8614
Dominican Republic,2003,9120.414084,6.9,8995398,2.370706373,8457
Dominican Republic,2004,8126.246774,8.8,9129965,1.985026297,8439
Dominican Republic,2005,8705.598693,5.8,9264267,1.989723485,9085
Dominican Republic,2006,8884.350477,4.5,9398285,2.072319027,9912
Dominican Republic,2007,8909.444633,4.5,9531954,2.183886918,10602
Dominican Republic,2008,8811.810587,3.8,9664948,2.103354352,10792
Dominican Republic,2009,8531.280703,3.3,9796852,2.028475576,10745
Dominican Republic,2010,8847.757393,2.6,9927320,2.078648239,11481
Dominican Republic,2011,8894.635302,2.9,10056181,2.072450498,11679
Dominican Republic,2012,9273.780175,2.7,10183339,2.13209281,11848
Dominican Republic,2013,8634.950035,2.4,10308609,2.038439056,12251
Ecuador,1971,4163.249791,0,6150690,0.675236616,5386
Ecuador,1972,4193.78309,0,6333049,0.71383373,5553
Ecuador,1973,4136.633537,0,6519792,0.794910091,6065
Ecuador,1974,4874.490316,0,6711284,0.894876742,6237
Ecuador,1975,5229.560385,0,6907740,1.052596743,6377
Ecuador,1976,5661.371524,0,7109119,1.128310909,6796
Ecuador,1977,6606.698088,0,7315156,1.013285057,7023
Ecuador,1978,6627.023991,0,7525548,1.374336629,7302
Ecuador,1979,6815.785005,0,7739894,1.561945987,7484
Ecuador,1980,7284.76642,0,7957811,1.680845079,7612
Ecuador,1981,7386.128425,0,8178948,2.035000075,7708
Ecuador,1982,7752.969821,0,8403034,2.291821265,7585
Ecuador,1983,7009.906979,0,8629832,2.266108866,7230
Ecuador,1984,7321.017445,0,8859125,2.401416671,7328
Ecuador,1985,7219.483896,0,9090592,2.139367991,7440
Ecuador,1986,7013.139185,0,9323745,1.638545842,7462
Ecuador,1987,7006.729039,17.6,9557974,1.5806026,6815
Ecuador,1988,7160.807543,0,9792658,1.762838704,7352
Ecuador,1989,6682.975871,0,10027109,2.019940692,7178
Ecuador,1990,7204.694658,0,10260587,1.635391889,7194
Ecuador,1991,7396.729317,0,10493498,1.565590405,7481
Ecuador,1992,7317.839692,0,10725281,2.069682251,7661
Ecuador,1993,6669.661264,0,10953182,2.199520081,7669
Ecuador,1994,6981.343222,17.1,11173647,1.2091749,7807
Ecuador,1995,8000.977361,0,11384506,1.983982042,7804
Ecuador,1996,8251.927614,0,11584074,2.056363989,7759
Ecuador,1997,8393.225249,0,11774005,1.526630364,7912
Ecuador,1998,8454.777288,15.7,11959586,1.834507918,7996
Ecuador,1999,7463.243945,21.8,12148188,1.723167428,7482
Ecuador,2000,8118.626844,28.2,12345023,1.628258405,7455
Ecuador,2001,8465.012475,0,12552036,1.78479009,7642
Ecuador,2002,8122.337103,0,12767415,1.893591217,7833
Ecuador,2003,8108.199877,14.5,12987992,2.012690411,7894
Ecuador,2004,7702.987002,15,13208869,2.130762172,8354
Ecuador,2005,7906.336152,12.1,13426402,2.181986481,8607
Ecuador,2006,7809.466881,8.1,13639708,2.042215247,8822
Ecuador,2007,8687.016123,8.5,13849721,2.217034663,8876
Ecuador,2008,7868.707912,7.5,14056740,2.306617093,9295
Ecuador,2009,9217.272587,7.2,14261566,2.416619197,9208
Ecuador,2010,9165.187014,5.6,14464739,2.402734654,9392
Ecuador,2011,9550.186713,4.7,14666055,2.501981468,9985
Ecuador,2012,9280.156626,4.5,14864987,2.429399327,10398
Ecuador,2013,9844.251032,3.2,15061398,2.57012993,10760
El Salvador,1971,5411.683822,0,3836884,0.40073269,4920
El Salvador,1972,5640.470091,0,3937757,0.434295828,5080
El Salvador,1973,5816.267796,0,4037935,0.496823372,5216
El Salvador,1974,5807.128968,0,4136133,0.485984913,5419
El Salvador,1975,6337.511229,0,4231358,0.50764318,5581
El Salvador,1976,7159.247145,0,4323383,0.520495788,5656
El Salvador,1977,7233.452791,0,4412237,0.526952975,5846
El Salvador,1978,7507.131886,0,4497535,0.53907498,6061
El Salvador,1979,7185.665026,0,4578922,0.528005912,5809
El Salvador,1980,6395.400144,0,4656263,0.462687355,5236
El Salvador,1981,6799.390658,0,4729467,0.390674304,4857
El Salvador,1982,6917.538136,0,4798918,0.370757963,4625
El Salvador,1983,6555.912479,0,4865611,0.393365897,4613
El Salvador,1984,6601.382459,0,4930893,0.326909268,4650
El Salvador,1985,6198.611955,0,4995888,0.399145849,4664
El Salvador,1986,5313.250332,0,5060307,0.394371349,4607
El Salvador,1987,5853.373808,0,5124240,0.477765853,4641
El Salvador,1988,5391.757454,0,5189565,0.475298264,4632
